h_values,a_values,c_values,node_eccentricity,community_opinion_eccentricity,community_size
0.1,0.01,0.3,1.0353255189869806,1.4142173267220675,493
0.1,0.1,0.3,0.7514464631441102,1.4142173267220675,493
0.1,0.03,0.3,4.567120827627191,1.3751659606981825,507
0.03,0.03,0.1,2.2358036067319658,1.4142173267220675,493
0.1,0.01,0.03,5.288735057781731,1.4142173267220675,493
0.03,0.3,0.03,0.7551869892759253,1.3751659606981825,507
0.3,0.03,0.3,0.5150788038734809,1.4142173267220675,493
0.01,0.3,0.1,1.3095730255617164,1.3751659606981825,507
0.01,0.01,0.1,1.9841864918705023,1.4142173267220675,493
0.03,0.3,0.1,0.2571381309151146,1.3751659606981825,507
0.03,0.01,0.01,0.10223810217837717,1.4142173267220675,493
0.01,0.3,0.01,0.3400927679262055,1.4142173267220675,493
0.03,0.03,0.1,2.578416270370573,1.4142173267220675,493
0.1,0.3,0.1,1.7283275401693983,1.3751659606981825,507
0.1,0.1,0.03,1.4506081245654492,1.3751659606981825,507
0.03,0.3,0.3,1.1490873589379844,1.4142173267220675,493
0.3,0.01,0.3,3.524801558010588,1.4142173267220675,493
0.01,0.03,0.01,0.7656435536439179,1.4142173267220675,493
0.01,0.1,0.3,2.2405893591390322,1.3751659606981825,507
0.1,0.01,0.3,1.0114799089354325,1.4142173267220675,493
0.3,0.3,0.1,4.172595436793894,1.4142173267220675,493
0.03,0.1,0.01,1.8234982810950042,1.4142173267220675,493
0.03,0.1,0.1,1.650889052737366,1.4142173267220675,493
0.03,0.3,0.1,2.9105875228712668,1.4142173267220675,493
0.1,0.03,0.03,1.9544344875216453,1.4142173267220675,493
0.1,0.3,0.3,3.0759023095453184,1.4142173267220675,493
0.03,0.1,0.3,1.063532178850103,1.4142173267220675,493
0.3,0.3,0.03,0.20003003301432984,1.3751659606981825,507
0.3,0.3,0.1,2.3174637959067654,1.3751659606981825,507
0.01,0.03,0.03,2.5991972164160546,1.4142173267220675,493
0.1,0.3,0.3,1.0833385320064732,1.4142173267220675,493
0.3,0.1,0.03,1.367000416011736,1.4142173267220675,493
0.01,0.03,0.01,3.2945710888626727,1.4142173267220675,493
0.3,0.03,0.1,1.9853035576258455,1.3751659606981825,507
0.03,0.01,0.3,2.0759581907866376,1.3751659606981825,507
0.1,0.01,0.3,1.2116022256232937,1.4142173267220675,493
0.03,0.03,0.03,0.9010328335596025,1.3751659606981825,507
0.3,0.1,0.1,1.6354746365602884,1.3751659606981825,507
0.01,0.03,0.03,0.9967701355115155,1.3751659606981825,507
0.01,0.1,0.01,1.6592871200044859,1.3751659606981825,507
0.01,0.03,0.1,2.616899941389614,1.3751659606981825,507
0.03,0.03,0.01,2.634601904779247,1.3751659606981825,507
0.01,0.01,0.03,5.626438116039819,1.3751659606981825,507
0.1,0.01,0.1,0.36624872078888776,1.3751659606981825,507
0.3,0.3,0.1,1.1026684159567814,1.3751659606981825,507
0.1,0.01,0.01,1.3267882451553776,1.3751659606981825,507
0.3,0.03,0.1,1.661079686484907,1.3751659606981825,507
0.3,0.3,0.1,0.347595265948606,1.4142173267220675,493
0.1,0.03,0.1,1.761398305199982,1.3751659606981825,507
0.3,0.3,0.3,1.7958057720985572,1.3751659606981825,507
0.1,0.01,0.1,1.1920326806758375,1.3751659606981825,507
0.03,0.3,0.01,2.2624308356750813,1.4142173267220675,493
0.1,0.03,0.03,0.40613125930840926,1.4142173267220675,493
0.03,0.1,0.03,1.572104884275672,1.3751659606981825,507
0.03,0.3,0.03,0.10712346581602146,1.4142173267220675,493
