h_values,a_values,c_values,node_eccentricity,community_opinion_eccentricity,community_size
0.1,0.01,0.03,0.6593633874665302,1.39120934964847,500
0.1,0.01,0.3,1.2940324864930857,1.39120934964847,500
0.1,0.01,0.1,1.9793329661219277,1.3912093496484685,500
0.03,0.1,0.3,0.18297178252771287,1.39120934964847,500
0.3,0.03,0.01,2.098465158179123,1.3912093496484685,500
0.01,0.1,0.03,2.613082121993255,1.3912093496484685,500
0.01,0.03,0.03,2.6442082442620953,1.39120934964847,500
0.01,0.03,0.1,3.4119058914285016,1.39120934964847,500
0.01,0.01,0.3,2.993976738239126,1.39120934964847,500
0.3,0.03,0.3,0.046216046713839845,1.39120934964847,500
0.3,0.3,0.01,0.8206801690877354,1.39120934964847,500
0.1,0.03,0.3,1.3652368154172374,1.39120934964847,500
0.1,0.1,0.1,2.3960122038115643,1.3912093496484685,500
0.3,0.1,0.03,1.3431448250157,1.3912093496484685,500
0.03,0.1,0.03,4.914456341257532,1.3912093496484685,500
0.01,0.03,0.1,1.1699884528754023,1.39120934964847,500
0.3,0.03,0.03,1.2000573638964311,1.3912093496484685,500
0.3,0.3,0.1,3.714309858149625,1.39120934964847,500
0.01,0.03,0.1,2.65465135066087,1.3912093496484685,500
0.3,0.1,0.1,4.685546988259005,1.3912093496484685,500
0.01,0.03,0.3,2.7296686205964917,1.39120934964847,500
0.3,0.1,0.01,0.4041675848754876,1.3912093496484685,500
0.01,0.01,0.1,0.20805565307499416,1.39120934964847,500
0.01,0.01,0.01,1.607494320414876,1.3912093496484685,500
0.01,0.03,0.01,1.5255838848379335,1.39120934964847,500
0.1,0.01,0.1,1.8733909578476964,1.39120934964847,500
0.1,0.3,0.1,1.4940571784491734,1.3912093496484685,500
0.01,0.1,0.03,0.231874966701203,1.39120934964847,500
0.01,0.03,0.1,2.2808379420881084,1.3912093496484685,500
0.3,0.3,0.1,1.7364871074396167,1.3912093496484685,500
0.01,0.1,0.3,2.310221631760754,1.3912093496484685,500
0.01,0.3,0.01,1.3960213007613105,1.39120934964847,500
0.01,0.1,0.3,2.608048896222235,1.3912093496484685,500
0.1,0.03,0.01,1.5011669432140538,1.39120934964847,500
0.3,0.1,0.1,1.6622305739075816,1.39120934964847,500
0.1,0.3,0.01,0.9377268814145128,1.39120934964847,500
0.3,0.01,0.3,1.0992649146304174,1.39120934964847,500
0.03,0.1,0.3,1.484065685129326,1.39120934964847,500
0.03,0.03,0.3,0.4851220753486062,1.39120934964847,500
0.03,0.03,0.03,1.9989401500867883,1.3912093496484685,500
0.03,0.01,0.3,1.6062467545794716,1.3912093496484685,500
0.3,0.01,0.01,1.5619358566085801,1.3912093496484685,500
0.3,0.1,0.1,0.7626444040390721,1.3912093496484685,500
0.01,0.3,0.01,2.8139724334134777,1.39120934964847,500
0.01,0.1,0.01,3.343904086400911,1.39120934964847,500
0.03,0.1,0.1,2.2572778254202555,1.3912093496484685,500
0.3,0.01,0.1,1.1774092772486793,1.3912093496484685,500
0.01,0.01,0.1,1.9023241281012258,1.3912093496484685,500
0.01,0.01,0.03,3.577679405747938,1.39120934964847,500
0.01,0.01,0.3,0.12704315657936352,1.39120934964847,500
0.1,0.3,0.01,1.5244049660684313,1.3912093496484685,500
0.01,0.01,0.03,1.3358885223521983,1.39120934964847,500
0.3,0.1,0.3,0.7260362561596699,1.3912093496484685,500
0.03,0.01,0.01,2.483646738749888,1.3912093496484685,500
0.3,0.3,0.3,2.3965142175980927,1.3912093496484685,500
0.1,0.01,0.03,1.4979127545771111,1.39120934964847,500
0.03,0.03,0.01,0.656282076839916,1.3912093496484685,500
0.01,0.1,0.01,1.9032103335004085,1.39120934964847,500
0.3,0.03,0.01,1.3882681123648035,1.39120934964847,500
0.1,0.1,0.1,5.8971704178784705,1.3912093496484685,500
0.01,0.3,0.01,0.9342307312140095,1.3912093496484685,500
0.01,0.01,0.1,0.7982285745320521,1.39120934964847,500
0.03,0.3,0.01,1.475823489998877,1.3912093496484685,500
0.03,0.3,0.3,0.11530786495504419,1.3912093496484685,500
0.1,0.03,0.03,0.17780183304008812,1.3912093496484685,500
