method,aa,hh,cc,ah,ha,ac,ca,ch,hc
random choice,-0.0010937296212307867,0.013471926084828119,0.010724045701747467,0.002309434106939207,-0.004593947950738896,-0.001661784992269823,0.0034910999468249393,-0.009930458785861747,-0.01552230525501722
random choice,-0.0010689017108149272,0.011587735200645913,0.010600180576517482,0.0023200820958315252,-0.004403010948372421,-0.0024241099173873864,0.003232078721118708,-0.008573242840553842,-0.016054242860423243
random choice,-0.0010209551171420084,0.011987847425656778,0.010043930851162754,0.0029844730477753775,-0.003642713228336172,-0.002475465899735231,0.0027776683683443234,-0.00893472496057065,-0.0146969128257428
random choice,-0.0013053571724959887,0.011776929393169188,0.013044247582835351,0.0026206510152014515,-0.0038244510625981844,-0.003149249288280441,0.0032191266181817338,-0.009254487651324576,-0.0178358732428651
random choice,-0.0013139627522847678,0.015293945596717791,0.011963278786551557,0.005627335723165994,-0.002461972045169273,-0.00657092990452305,0.00177335114028026,-0.009389135031495341,-0.02204255251090882
random choice,-0.0010907667615851293,0.009120415340264544,0.012555121385779367,0.001697391857822997,-0.004117083829940155,-0.002056327074830371,0.004096977680188818,-0.008689864413011691,-0.014288340277067735
random choice,-0.0010845119166650265,0.010892698759610183,0.008762508081980052,0.002670172946229282,-0.00330639285569521,-0.0024449330465861575,0.0025595529916526494,-0.00788066181772722,-0.014218161734585809
random choice,-0.0013455621799001013,0.011290914804424427,0.012033469905959146,0.0027089586152628927,-0.004294525898349099,-0.0032464179360586474,0.00386744185977077,-0.009972631942928441,-0.015748237501478718
random choice,-0.0010930771915852165,0.009929574792079615,0.011179427320373556,0.0026719035274091318,-0.00302024519439675,-0.0033626660094974664,0.0026828334603434508,-0.00868910971603575,-0.015147435257376772
random choice,-0.0009534527719522761,0.010046597218216453,0.012426429471418534,0.002043087848217083,-0.0033694731026747515,-0.0023638438629083455,0.0029945426995494225,-0.00861463861927493,-0.01590438118457328
normal distribution,0.0010546166354941464,0.025945587615921445,0.00017861393723041932,-0.0018534837785189825,-0.02183549118001192,0.000650084100805117,0.009796273750097952,-0.01149786885109718,-0.00438591734257879
normal distribution,-5.026889021419947e-05,0.022968557254879205,0.0030109670460502762,-0.0003009047911510536,-0.01884978295942867,-0.000715280532086993,0.009957241669542037,-0.011928260365402505,-0.009194546688367694
normal distribution,0.0011779499398594888,0.021437838705278812,0.002533863616424934,-0.0019559295583474446,-0.019092071827043974,0.0005447649859800524,0.010570322310445069,-0.011628698600300235,-0.008067751725032246
normal distribution,0.0044064597703433635,0.023122007817825585,0.003017432456131735,-0.005071672069149476,-0.022664361507914156,0.0019858825260160554,0.012168315485167395,-0.012420008165913472,-0.006891031693389974
normal distribution,0.0038002738799901297,0.023997077675863017,0.002667247111247087,-0.004524505896549956,-0.021407442147293978,0.002051828299913722,0.010794421272905594,-0.011785471894850607,-0.008351801055705288
normal distribution,-0.0004113352331882032,0.023679251704191648,0.00370933329575516,-0.0002576479069299721,-0.018830249079120693,-1.1960281652969643e-05,0.008555329867744288,-0.01092379779145657,-0.01130735336114383
normal distribution,7.765164653365643e-06,0.024221477309898487,0.0009480643538565054,-0.00029011592114164936,-0.020527515532162928,-0.0001286331772793372,0.008354364267934573,-0.009781635030487927,-0.006801518004207087
normal distribution,0.001591115595891813,0.026773685641174702,0.0023317400053176614,-0.0027448159771526694,-0.021089767868713714,0.0006903243270928689,0.009190003564260042,-0.011494066860492536,-0.008549004178018542
normal distribution,0.0016266282548166161,0.019721642813761285,0.0047413217881102886,-0.002070321180779624,-0.018015223077907976,0.0013621832661616553,0.008924584558142436,-0.009157474429725096,-0.013374823657171329
normal distribution,-8.606778186350166e-05,0.023251187046779025,0.002632727509526896,-0.00045011398002598054,-0.019165746135891445,0.00010084887249306104,0.008352952258307785,-0.00987745528753098,-0.008534537004332089
uniform distribution,-0.0021330416540918744,0.022382185682656413,0.008999977332053221,0.0027412932203858516,-0.015673306606274306,-0.0009904587530469055,0.011035417990991012,-0.015705655531314353,-0.013666920954313653
