h,a,c,theta_h,theta_a,average edge weight,std. of average comm. states,range of average comm. states,number of communities,modularity
0.01,0.01,0.01,0.01,0.01,0.2704698615655409,1.9372894275819441,4.62584916466873,3,0.19417420228431442
0.01,0.01,0.01,0.01,0.03,0.2546923932565257,1.979924986961355,4.830050389586475,3,0.21412652116988273
0.01,0.01,0.01,0.01,0.1,0.21402541010334783,1.5740407528540872,3.6024399524659705,3,0.1959330955030648
0.01,0.01,0.01,0.01,0.3,0.13530850479607492,1.9325161892143472,4.699928685980083,3,0.20609631002433446
0.01,0.01,0.01,0.03,0.01,0.28406112829916735,1.905984153917045,3.81196830783409,2,0.19942445823706428
0.01,0.01,0.01,0.03,0.03,0.2788389950619796,1.500222413675365,3.67021870911182,3,0.17762922871296022
0.01,0.01,0.01,0.03,0.1,0.23967615357127423,2.1969845844559552,4.3939691689119105,2,0.21986087341186045
0.01,0.01,0.01,0.03,0.3,0.13600269643381463,1.7814115556177346,3.935923045335558,3,0.21985982138344445
0.01,0.01,0.01,0.1,0.01,0.32265416949292625,1.8345162927781433,3.6690325855562866,2,0.2035988666944749
0.01,0.01,0.01,0.1,0.03,0.31086325213314675,1.5253640184811146,3.7363634193359467,3,0.18277599790435456
0.01,0.01,0.01,0.1,0.1,0.27215849751771365,1.5608355074572748,3.7354096613847982,3,0.18606432210007118
0.01,0.01,0.01,0.1,0.3,0.1786169939741301,1.8353587617331486,3.670717523466297,2,0.2404948845169657
0.01,0.01,0.01,0.3,0.01,0.4603830429246206,1.7290955095278058,4.19576512439774,3,0.1514788940827849
0.01,0.01,0.01,0.3,0.03,0.4295358029248789,1.9260188720123994,4.686687485954691,3,0.16994374809282858
0.01,0.01,0.01,0.3,0.1,0.38691089816352886,2.1224108547272476,4.244821709454495,2,0.1928339745768577
0.01,0.01,0.01,0.3,0.3,0.2777700309334949,1.6164071855376327,3.9390775516150023,3,0.21161708722709682
0.01,0.03,0.01,0.01,0.01,2.8569483158639186,1.2931009316723494,2.586201863344699,2,0.043415559575078755
0.01,0.03,0.01,0.01,0.03,2.9778809231397103,1.5308424203469921,3.0616848406939843,2,0.044767776841469764
0.01,0.03,0.01,0.01,0.1,2.6790699262492192,1.4374219653924238,2.8748439307848477,2,0.04553849365896229
0.01,0.03,0.01,0.01,0.3,1.8981451444817816,1.464603564442501,2.929207128885002,2,0.04417482171215786
0.01,0.03,0.01,0.03,0.01,2.6508212755498706,1.419739590456286,2.839479180912572,2,0.037746442453979456
0.01,0.03,0.01,0.03,0.03,2.798820168839248,1.6284359558467094,3.256871911693419,2,0.037845800183961525
0.01,0.03,0.01,0.03,0.1,2.703811309197339,1.2619193508032396,2.523838701606479,2,0.04105782597131358
0.01,0.03,0.01,0.03,0.3,2.130958801868557,1.2926446081153498,2.5852892162306995,2,0.04437990173110923
0.01,0.03,0.01,0.1,0.01,2.7772419899697915,1.3942264451345774,2.7884528902691548,2,0.037376053279872395
0.01,0.03,0.01,0.1,0.03,2.485029384092433,1.1981482550679035,2.396296510135807,2,0.03927534835447635
0.01,0.03,0.01,0.1,0.1,2.330858123343546,1.1288474369582668,2.2576948739165337,2,0.04089821885005304
0.01,0.03,0.01,0.1,0.3,2.10494811658601,1.2396051188776673,2.4792102377553347,2,0.04585879460307141
0.01,0.03,0.01,0.3,0.01,2.9201805717763047,1.5038630391379941,3.0077260782759883,2,0.03617626994888415
0.01,0.03,0.01,0.3,0.03,2.937658262418106,1.3159277361653208,2.6318554723306415,2,0.04194286936143249
0.01,0.03,0.01,0.3,0.1,2.717272392644405,1.4520898682775867,2.9041797365551734,2,0.04367538703005905
0.01,0.03,0.01,0.3,0.3,2.6196265094532283,1.7921739581372147,3.5843479162744294,2,0.04191095440005643
0.01,0.1,0.01,0.01,0.01,12.442973892740364,1.323167705295833,2.646335410591666,2,0.00896065574549057
0.01,0.1,0.01,0.01,0.03,12.791283283335012,1.3140386045077088,2.6280772090154176,2,0.008294763115601095
0.01,0.1,0.01,0.01,0.1,12.648706609480568,1.5466086196514635,3.093217239302927,2,0.008705681657675934
