h_values,a_values,c_values,th_values,ta_values,avg_weight,std_of_avg_comm_state,range_of_comm_state,number_of_comm,modularity
0.01,0.01,0.01,0.01,0.01,0.27802976197062645,1.7139458120460596,3.836646445288067,3,0.18726284723135575
0.01,0.01,0.01,0.01,0.03,0.25964353792028266,2.052479458455076,4.104958916910152,2,0.18686264398801264
0.01,0.01,0.01,0.01,0.1,0.22771840777465027,2.209739060450078,4.419478120900156,2,0.2284013722552907
0.01,0.01,0.01,0.01,0.3,0.12537053939193563,1.8077783623989183,4.863775872957852,4,0.23810423208639503
0.01,0.01,0.01,0.03,0.01,0.29176821444353657,1.9110910995327903,4.639308937330117,3,0.20081387355813862
0.01,0.01,0.01,0.03,0.03,0.27020082897882675,1.885141561914937,3.770283123829874,2,0.21372333359890197
0.01,0.01,0.01,0.03,0.1,0.2265984442751153,1.716499468936366,4.02245837366158,3,0.20067379054260842
0.01,0.01,0.01,0.03,0.3,0.13773445026289455,1.8591776086777136,4.4800321769423945,3,0.256080346754936
0.01,0.01,0.01,0.1,0.01,0.3309374566846186,2.21991468223874,4.43982936447748,2,0.21883091445433647
0.01,0.01,0.01,0.1,0.03,0.3066933770704229,1.500966110635124,3.001932221270248,2,0.19686568822390496
0.01,0.01,0.01,0.1,0.1,0.2789188441837763,1.95532692447242,3.91065384894484,2,0.2013679587443762
0.01,0.01,0.01,0.1,0.3,0.17552688239227962,1.65497405923003,3.7705823928397377,3,0.2148424340558514
0.01,0.01,0.01,0.3,0.01,0.44490740867009165,1.3586585514039933,3.322883435231088,3,0.16415375282314076
0.01,0.01,0.01,0.3,0.03,0.43645577557324106,1.531002278357469,3.519615314347978,3,0.1947308592306074
0.01,0.01,0.01,0.3,0.1,0.39970311891419397,1.525104551295706,3.050209102591412,2,0.15525496361327737
0.01,0.01,0.01,0.3,0.3,0.267497644542513,1.5980433900240614,3.6924674165067666,3,0.17974506393294298
0.01,0.03,0.01,0.01,0.01,2.732840219365147,1.5597839852687632,3.1195679705375263,2,0.04075342094538914
0.01,0.03,0.01,0.01,0.03,2.6485868674049238,1.4139693630003025,2.827938726000605,2,0.038415455600120885
0.01,0.03,0.01,0.01,0.1,2.777229340565444,1.5663380364843693,3.1326760729687386,2,0.042700026666863455
0.01,0.03,0.01,0.01,0.3,1.8896234337131028,1.370765952707223,2.741531905414446,2,0.05302250030714781
0.01,0.03,0.01,0.03,0.01,2.7190262737419464,1.229390418905726,2.458780837811452,2,0.04100631855831735
0.01,0.03,0.01,0.03,0.03,2.640487376264817,1.0170809201696815,2.034161840339363,2,0.04259677793388297
0.01,0.03,0.01,0.03,0.1,2.4864203971199834,1.2525545423486624,2.5051090846973247,2,0.04466693375971681
0.01,0.03,0.01,0.03,0.3,2.1840471732138567,1.61908862696436,3.23817725392872,2,0.05042295210969716
0.01,0.03,0.01,0.1,0.01,2.943537760720136,1.5603571938619776,3.120714387723955,2,0.03912379759186127
0.01,0.03,0.01,0.1,0.03,2.9380711374120363,1.2360418289037751,2.4720836578075502,2,0.04288909843702518
0.01,0.03,0.01,0.1,0.1,2.6117516032116295,1.2791911158807538,2.5583822317615077,2,0.03829617425057619
0.01,0.03,0.01,0.1,0.3,1.9979567365087434,1.3269507124841429,2.6539014249682857,2,0.053735378078617085
0.01,0.03,0.01,0.3,0.01,3.0182572098721177,1.4334749829571471,2.8669499659142943,2,0.0357358718531392
0.01,0.03,0.01,0.3,0.03,3.04161602242576,1.1372775693019679,2.2745551386039358,2,0.03751698112074078
0.01,0.03,0.01,0.3,0.1,2.9584673028413304,1.464629516848225,2.92925903369645,2,0.04198607764205506
0.01,0.03,0.01,0.3,0.3,2.4647818574580262,1.4588804677573122,2.9177609355146243,2,0.04728891036836974
0.01,0.1,0.01,0.01,0.01,13.612637960869364,1.487695284653412,2.975390569306824,2,0.00921078826189728
0.01,0.1,0.01,0.01,0.03,12.983687584184835,1.617191156532161,3.2343823130643217,2,0.00893979340086773
0.01,0.1,0.01,0.01,0.1,12.179278107266384,1.4221278607589753,2.8442557215179507,2,0.010160090709918523
0.01,0.1,0.01,0.01,0.3,10.371442247661214,1.2627116224390724,2.525423244878145,2,0.010060411568498184
0.01,0.1,0.01,0.03,0.01,13.405130774094047,1.2949766990544278,2.5899533981088556,2,0.008470595591189983
0.01,0.1,0.01,0.03,0.03,13.181311666147101,1.2638686437061477,2.5277372874122954,2,0.009960299177140836
0.01,0.1,0.01,0.03,0.1,11.921225083578337,1.4492007832326281,2.8984015664652563,2,0.008779356712586894
0.01,0.1,0.01,0.03,0.3,9.800724507604027,1.2916260812443423,2.5832521624886846,2,0.011059366706894364
0.01,0.1,0.01,0.1,0.01,13.780562773847448,1.4180787523304987,2.8361575046609975,2,0.008652184378823369
0.01,0.1,0.01,0.1,0.03,13.364208624412313,1.4265632185528512,2.8531264371057024,2,0.007838125263304907
0.01,0.1,0.01,0.1,0.1,11.560974085226228,1.4307332121117593,2.8614664242235186,2,0.00867603460871852
0.01,0.1,0.01,0.1,0.3,9.69919778766226,1.5584553647096278,3.1169107294192555,2,0.01068126670654404
0.01,0.1,0.01,0.3,0.01,13.143396060712156,1.5656080842605644,3.131216168521129,2,0.008983449831204915
0.01,0.1,0.01,0.3,0.03,13.203687681749512,1.5823579126200293,3.1647158252400587,2,0.008365374084470495
0.01,0.1,0.01,0.3,0.1,11.974493740942027,1.2626601763106837,2.5253203526213674,2,0.009071959149603126
0.01,0.1,0.01,0.3,0.3,9.330295954885319,1.280975838622366,2.561951677244732,2,0.009613271563850945
0.01,0.3,0.01,0.01,0.01,43.58447114628671,1.5415434855910735,3.083086971182147,2,0.0011559129909040344
0.01,0.3,0.01,0.01,0.03,42.25189666043802,1.4151334399010878,2.8302668798021755,2,0.0006174499994427707
0.01,0.3,0.01,0.01,0.1,39.606559444861105,1.1619359440009003,2.3238718880018006,2,0.0008934890236466653
0.01,0.3,0.01,0.01,0.3,33.824936281848544,1.3202556902881675,2.640511380576335,2,0.0015796855929056663
0.01,0.3,0.01,0.03,0.01,40.925617068726396,1.146148637191625,2.29229727438325,2,0.001073828957669748
0.01,0.3,0.01,0.03,0.03,39.883548709182016,1.3689408387320556,2.7378816774641113,2,0.0005036067526898724
0.01,0.3,0.01,0.03,0.1,43.47599184627116,1.4948968868379597,2.9897937736759195,2,0.001010080476812586
0.01,0.3,0.01,0.03,0.3,31.896936145591265,1.1859737348621586,2.3719474697243172,2,0.0014499322802249137
0.01,0.3,0.01,0.1,0.01,43.181216701038984,1.4218600986496397,2.8437201972992794,2,0.0010764577539624232
0.01,0.3,0.01,0.1,0.03,41.22471481609706,1.3390304697587379,2.6780609395174757,2,0.0007910360969890506
0.01,0.3,0.01,0.1,0.1,36.35526940690953,1.2547618329831642,2.5095236659663285,2,0.000862891940287408
0.01,0.3,0.01,0.1,0.3,32.808831293946035,1.3326567052545966,2.665313410509193,2,0.00128766781358583
0.01,0.3,0.01,0.3,0.01,42.405209481598156,1.3763588116097263,2.7527176232194526,2,0.0006189321878747323
0.01,0.3,0.01,0.3,0.03,43.01443196928988,1.6662171999643198,3.3324343999286397,2,0.0009506201508900081
0.01,0.3,0.01,0.3,0.1,38.32287414090166,1.268324198522011,2.536648397044022,2,0.0009382770371226257
0.01,0.3,0.01,0.3,0.3,36.032956820837626,1.496030469738876,2.992060939477752,2,0.0014459937861357186
0.03,0.01,0.01,0.01,0.01,2.3519478384978368e-07,4.074211048388684,17.155056103452022,66,0.8523958346141727
0.03,0.01,0.01,0.01,0.03,1.9062346238627498e-07,3.55366264754918,17.23470833321726,74,0.8671737021147122
0.03,0.01,0.01,0.01,0.1,1.0100256299077006e-07,3.6214379709646822,16.428454009817955,79,0.7558046033486879
0.03,0.01,0.01,0.01,0.3,2.5187789824643814e-08,3.2010114153396274,14.031421093185457,85,0.8904547735824685
0.03,0.01,0.01,0.03,0.01,1.3757727424391561e-06,3.8419108670232953,13.74559260843466,46,0.8780959469038545
0.03,0.01,0.01,0.03,0.03,9.149017029273855e-07,3.8061179229872586,14.20818828562643,48,0.9120653619391811
0.03,0.01,0.01,0.03,0.1,3.42403941403305e-07,3.9053545886166416,17.92749329773539,65,0.8815097734146234
0.03,0.01,0.01,0.03,0.3,1.700597437299405e-07,2.881657523512715,13.052987533309068,66,0.8501800141449732
0.03,0.01,0.01,0.1,0.01,0.00013356449161893658,4.805182985812165,15.234292316982721,19,0.7480501410927917
0.03,0.01,0.01,0.1,0.03,2.032806359783116e-05,4.889366492765683,16.8660258145038,27,0.8398956373805804
0.03,0.01,0.01,0.1,0.1,1.4767367075259165e-05,4.69135940010788,16.660492347303908,26,0.6840418369267179
0.03,0.01,0.01,0.1,0.3,1.1342157890938903e-06,4.00439158768784,16.107517704485694,46,0.9222916104191675
