h_values,a_values,c_values,node_eccentricity,community_opinion_eccentricity,community_size
0.1,0.01,0.3,0.20258141260536203,0.08471170038610207,224
0.01,0.01,0.1,0.6920817675512028,0.0028734083030840848,190
0.01,0.3,0.1,1.1089373463916754,0.036381591098884725,119
0.3,0.03,0.01,0.37240642242276273,0.036381591098884725,119
0.01,0.3,0.03,0.031417890678143184,0.0028734083030840848,190
0.1,0.1,0.3,0.34517408159561147,0.08471170038610207,224
0.1,0.01,0.03,0.14311582755435118,0.06887754243865267,172
0.3,0.3,0.3,0.3619727080556332,0.0028734083030840848,190
0.3,0.03,0.03,0.49092005826175544,0.04846600042652896,166
0.3,0.03,0.1,0.36020143269984944,0.04846600042652896,166
0.1,0.3,0.3,0.5134911332365186,0.0028734083030840848,190
0.3,0.3,0.3,0.21749841280987342,0.04846600042652896,166
0.1,0.1,0.03,0.09653109416131318,0.06887754243865267,172
0.01,0.1,0.3,0.35362759965991064,0.04846600042652896,166
0.1,0.01,0.1,0.3960640767384648,0.0028734083030840848,190
0.01,0.01,0.01,0.6173558514004506,0.06887754243865267,172
0.03,0.3,0.03,0.28805594152660546,0.04846600042652896,166
0.3,0.3,0.1,0.0011417063765674987,0.06887754243865267,172
0.1,0.3,0.01,0.007885927211386338,0.08471170038610207,224
0.1,0.03,0.3,0.11014687975940374,0.06887754243865267,172
0.1,0.1,0.3,0.10265597036535531,0.06887754243865267,172
0.03,0.1,0.01,0.032185031060112994,0.06887754243865267,172
0.1,0.01,0.3,0.2168108786650679,0.06887754243865267,172
0.01,0.1,0.1,0.20190877527536377,0.06887754243865267,172
0.03,0.1,0.1,0.011702412203445374,0.04846600042652896,166
0.3,0.01,0.01,0.5670552202722888,0.04846600042652896,166
0.3,0.03,0.3,0.3097556039785553,0.06887754243865267,172
0.3,0.1,0.03,0.6041326137529934,0.022221622321054905,129
0.03,0.1,0.03,0.3878366105379485,0.04846600042652896,166
0.01,0.01,0.01,0.26210309679913496,0.036381591098884725,119
0.03,0.3,0.03,0.31046904376993917,0.08471170038610207,224
0.01,0.01,0.1,0.2310952022906344,0.08471170038610207,224
0.03,0.03,0.01,0.0729260596944927,0.06887754243865267,172
0.03,0.3,0.3,0.300439916861437,0.022221622321054905,129
0.1,0.03,0.3,0.07516543848466067,0.036381591098884725,119
0.3,0.1,0.01,0.5236503910305228,0.0028734083030840848,190
0.01,0.3,0.1,0.1709991845081006,0.08471170038610207,224
0.3,0.1,0.01,0.6798981218363297,0.08471170038610207,224
0.1,0.01,0.1,0.02010801773409166,0.0028734083030840848,190
0.01,0.1,0.1,0.542119275660293,0.08471170038610207,224
