h_values,a_values,c_values,node_eccentricity,community_opinion_eccentricity,community_size
0.03,0.1,0.01,0.01960236690190978,0.33736222762806384,33
0.3,0.1,0.3,0.44780311328028666,0.33736222762806384,33
0.01,0.3,0.1,0.19502198080505584,0.13567361533028321,18
0.01,0.3,0.01,0.4368539685312214,0.14149406069019188,35
0.3,0.03,0.01,0.4341142025532691,0.33736222762806384,33
0.01,0.1,0.01,0.8636963755219198,0.33736222762806384,33
0.1,0.1,0.01,0.06377379327918159,0.14149406069019188,35
0.01,0.03,0.3,0.3226268639392115,0.6159133188224637,14
0.01,0.3,0.3,1.4171323284442798,0.13567361533028321,18
0.3,0.03,0.03,0.2343307852396779,0.14149406069019188,35
0.03,0.01,0.01,0.33574851033525005,0.33736222762806384,33
0.1,0.01,0.3,1.2196443021882646,0.33736222762806384,33
0.03,0.1,0.1,0.6617523426934017,0.14149406069019188,35
0.01,0.1,0.3,1.7134135544884628,0.6159133188224637,14
0.01,0.01,0.01,0.26421561527107124,0.14149406069019188,35
0.03,0.03,0.1,0.28172588991380393,0.33736222762806384,33
0.01,0.01,0.3,1.0175109992012055,0.33736222762806384,33
0.1,0.1,0.01,0.6835102993941875,0.14149406069019188,35
0.01,0.3,0.3,0.8078327192682522,0.14149406069019188,35
0.1,0.03,0.03,0.30238483612124,0.33736222762806384,33
0.3,0.01,0.1,0.15069286700062995,0.14149406069019188,35
0.3,0.01,0.01,0.11291168618238456,0.33736222762806384,33
0.3,0.1,0.01,0.2991769065268543,0.14149406069019188,35
0.3,0.03,0.01,0.3342369750269673,0.14149406069019188,35
0.03,0.01,0.01,0.048718925198964314,0.14149406069019188,35
0.3,0.1,0.3,0.9514697502377789,0.6159133188224637,14
0.03,0.01,0.03,0.3911820361324766,0.14149406069019188,35
0.1,0.01,0.01,0.7433331200929431,0.14149406069019188,35
0.03,0.01,0.1,0.051943237315127316,0.14149406069019188,35
0.03,0.01,0.03,0.9966429641841404,0.14149406069019188,35
0.01,0.1,0.1,0.13609162202909975,0.6159133188224637,14
0.3,0.1,0.01,0.45984926927164205,0.33736222762806384,33
0.03,0.1,0.3,0.46681419754130743,0.33736222762806384,33
0.03,0.01,0.01,0.9608163595601114,0.6159133188224637,14
0.3,0.1,0.3,0.7581981777313636,0.33736222762806384,33
0.1,0.01,0.03,0.4887559230803914,0.14149406069019188,35
0.03,0.1,0.1,0.7803238400891851,0.13567361533028321,18
0.1,0.01,0.03,0.6425479765291509,0.14149406069019188,35
0.3,0.1,0.1,0.6521673168083166,0.6159133188224637,14
0.3,0.03,0.03,1.757408022730243,0.6159133188224637,14
0.01,0.01,0.01,0.11775831310595891,0.14149406069019188,35
0.01,0.3,0.03,0.4150426864813088,0.14149406069019188,35
0.1,0.1,0.3,0.8117627279233983,0.14149406069019188,35
0.3,0.01,0.03,0.14998630985484918,0.14149406069019188,35
0.03,0.1,0.1,0.4106255407056469,0.14149406069019188,35
0.1,0.01,0.03,0.4600814950576948,0.33736222762806384,33
0.3,0.3,0.01,0.9446278788888616,0.14149406069019188,35
0.1,0.03,0.01,0.40783108409682667,0.6159133188224637,14
0.01,0.03,0.3,0.05643035022318893,0.14149406069019188,35
0.03,0.1,0.01,0.20917107763031628,0.13567361533028321,18
0.3,0.1,0.01,0.8919141018373531,0.33736222762806384,33
0.1,0.03,0.01,0.4171474633321497,0.6159133188224637,14
0.1,0.01,0.3,0.4324043546361858,0.14149406069019188,35
0.03,0.3,0.01,0.5068586690669318,0.14149406069019188,35
0.03,0.01,0.01,1.4352965090269119,0.13567361533028321,18
0.01,0.1,0.3,0.9220262197504381,0.14149406069019188,35
0.01,0.1,0.3,0.5769480401035038,0.14149406069019188,35
0.3,0.1,0.3,1.3980296710206312,0.6159133188224637,14
0.1,0.1,0.3,0.15082149848602397,0.13567361533028321,18
0.3,0.3,0.1,0.19381592082348276,0.33736222762806384,33
0.01,0.1,0.3,0.05724378986561146,0.13567361533028321,18
0.01,0.3,0.03,0.5475035175487797,0.14149406069019188,35
0.01,0.03,0.01,0.11966220918697068,0.13567361533028321,18
0.3,0.01,0.03,0.2792039124246154,0.13567361533028321,18
0.03,0.03,0.03,0.08097390711850533,0.33736222762806384,33
0.01,0.01,0.1,0.39114102127617534,0.14149406069019188,35
0.03,0.1,0.1,0.7547613009741206,0.33736222762806384,33
0.1,0.3,0.1,0.27994112653196795,0.13567361533028321,18
0.1,0.3,0.01,0.025615581374184043,0.33736222762806384,33
0.3,0.01,0.3,2.3466176713417752,0.33736222762806384,33
0.3,0.1,0.1,0.9435249951312038,0.33736222762806384,33
0.03,0.01,0.1,0.8803442241129255,0.33736222762806384,33
0.03,0.01,0.3,0.39104519494549017,0.13567361533028321,18
0.01,0.01,0.03,1.215573680780405,0.33736222762806384,33
0.1,0.1,0.3,0.2548701593341457,0.6159133188224637,14
0.3,0.1,0.01,0.6169712096666015,0.6159133188224637,14
0.1,0.01,0.3,0.00881608107114129,0.13567361533028321,18
0.03,0.01,0.3,0.8231567378571736,0.33736222762806384,33
