h_values,a_values,c_values,global_node_eccentricity,within_community_eccentricity,community_eccentricity,community_size
0.1,0.3,0.3,0.08157910415441716,2.111555270600996,2.0299761664465787,202
0.03,0.03,0.3,0.1999510993387881,0.3113165769515307,0.1113654776127426,583
0.3,0.03,0.03,2.3523161210171177,2.46368159862986,0.1113654776127426,583
0.3,0.03,0.01,3.2597176403790837,1.0505024819119333,2.2092151584671504,215
0.1,0.03,0.01,2.584990335219188,0.3757751767520374,2.2092151584671504,215
0.1,0.3,0.3,0.6660044965927109,1.363971669853868,2.0299761664465787,202
0.03,0.03,0.03,1.1863945103307987,1.075029032718056,0.1113654776127426,583
0.3,0.3,0.03,6.1161989995417105,4.086222833095132,2.0299761664465787,202
0.01,0.1,0.1,0.40353446620206224,0.2921689885893196,0.1113654776127426,583
0.03,0.1,0.01,0.17571787899345812,1.8542582874531206,2.0299761664465787,202
0.03,0.03,0.01,3.9495024722296925,1.740287313762542,2.2092151584671504,215
0.03,0.1,0.3,0.028944509735191137,0.14030998734793373,0.1113654776127426,583
0.01,0.1,0.1,1.0726467069161048,0.9612812293033622,0.1113654776127426,583
0.03,0.3,0.1,0.5590262413781882,1.4709499250683906,2.0299761664465787,202
0.3,0.03,0.1,2.8751619971690485,2.763796519556306,0.1113654776127426,583
0.03,0.03,0.3,0.17052866634302827,0.05916318873028567,0.1113654776127426,583
0.03,0.1,0.3,0.5155836072453529,1.6936315512217974,2.2092151584671504,215
0.3,0.01,0.01,0.9958124635788351,1.0341637028677437,2.0299761664465787,202
0.01,0.1,0.01,3.536216301348706,3.4248508237359636,0.1113654776127426,583
0.3,0.1,0.03,1.9460728488520291,2.0574383264647715,0.1113654776127426,583
0.03,0.03,0.3,1.0855693159134217,0.9742038383006791,0.1113654776127426,583
0.3,0.01,0.01,0.910047247018216,0.7986817694054734,0.1113654776127426,583
0.03,0.01,0.1,1.446878936668439,1.3355134590556963,0.1113654776127426,583
0.03,0.1,0.01,1.5901878442280963,0.6190273142390541,2.2092151584671504,215
