h_values,n_values,th_values,ta_values,c_values,avg_weight,std_dev,average_os,range_community,n_communities,modularity
0.01,0.01,0.01,0.01,0.01,0.4649835191603894,0.3605030375859076,-0.25247905053351866,4.36810110010998,4,0.0445169203639532
0.01,0.01,0.01,0.03,0.01,0.4247872823777349,0.009704913329630699,-0.16891574939215254,2.4595598420953784,3,0.07838730924844481
0.01,0.01,0.01,0.1,0.01,0.38558278669738594,0.14182150126680382,-0.44631151629200944,0.73056423640168,2,0.10955447710448785
0.01,0.01,0.01,0.3,0.01,0.33540944510627246,0.24465674296750808,-1.7133503533472019,2.757850373191944,3,0.1384490976830026
0.01,0.01,0.03,0.01,0.01,0.31509062550654243,0.02312719506543289,-0.43275641737668524,5.376839343083616,3,0.15464583634348034
0.01,0.01,0.03,0.03,0.01,0.2971570527180076,0.005881379841708857,-0.4527697178524826,1.7001425015448495,2,0.1716370077521245
0.01,0.01,0.03,0.1,0.01,0.2788283130990757,0.03686472321786684,0.0650950391504137,1.504039132971763,2,0.18378327579719575
0.01,0.01,0.03,0.3,0.01,0.247947201335953,3.2600531595898787,3.93266808286864,5.261628148940931,3,0.19646652646824925
0.01,0.01,0.1,0.01,0.01,0.24590234514182308,0.049071224195867486,0.5657320130460393,1.4708086536315623,2,0.19519047520719526
0.01,0.01,0.1,0.03,0.01,0.24167995930080174,0.9964962624421922,3.9577101666195524,3.7511234699117226,3,0.20084120096484562
0.01,0.01,0.1,0.1,0.01,0.23331030979708522,0.03205613230833799,0.186873277291454,2.1436311805009596,2,0.21716908117839545
0.01,0.01,0.1,0.3,0.01,0.2136908109247851,8.007844025564612,3.3888449834383474,5.456791310683313,3,0.23556648559511606
0.01,0.01,0.3,0.01,0.01,0.22742128164813352,0.021630420686512088,0.644518211897807,2.046579940325707,2,0.22673313636344855
0.01,0.01,0.3,0.03,0.01,0.23780472929323684,93.23442874629681,16.21590471942657,17.97655165739922,3,0.22537490502175458
0.01,0.01,0.3,0.1,0.01,0.2433943515854707,0.5585607088738477,1.1524397677784757,13.964984821321263,3,0.22265465966109038
0.01,0.01,0.3,0.3,0.01,0.23642588608218273,0.20928823280104542,3.3599588523492505,5.349098518798559,3,0.22829189334230215
0.01,0.03,0.01,0.01,0.01,0.6590163572452021,0.6064451752968324,1.4909121773509912,3.512556167430306,3,0.05486010005203744
0.01,0.03,0.01,0.03,0.01,1.0351299047381555,10.903385759008694,6.551330374983638,6.072052537328371,3,0.04481165269032121
0.01,0.03,0.01,0.1,0.01,1.3542337591147457,0.17958933239227473,0.6436518952810633,2.0958706531222644,2,0.04077591997677796
0.01,0.03,0.01,0.3,0.01,1.6051352259940608,0.10485358610474187,0.5185186497746634,1.991613680166317,2,0.038803046738898034
0.01,0.03,0.03,0.01,0.01,1.9293392231597277,0.040928250786318586,0.6723241197345683,1.3266329117383289,2,0.035223664716350994
0.01,0.03,0.03,0.03,0.01,2.2270443054907796,0.00160444677298213,0.5546469993527405,1.384307343193036,2,0.03369734528002402
0.01,0.03,0.03,0.1,0.01,2.5139024204831704,0.017921248759358473,0.5319451834243053,1.4681173385091486,2,0.03383344825012782
0.01,0.03,0.03,0.3,0.01,2.720863356508036,0.020887188368431172,0.7095678110548549,1.22203164137833,2,0.035251596690609815
0.01,0.03,0.1,0.01,0.01,3.0325771871853267,0.07602842594746671,0.24008198868845101,1.7224905498173102,2,0.03556722363123754
0.01,0.03,0.1,0.03,0.01,3.3448455563707022,0.007597848202012681,0.11752982078806008,1.5550316235544375,2,0.03674079431777244
0.01,0.03,0.1,0.1,0.01,3.629527755976648,0.004812907300642508,-0.15182141882651454,1.6492612155684814,2,0.03805208152754136
0.01,0.03,0.1,0.3,0.01,3.8699639040940164,0.004361591856985785,-0.032100736099312195,1.8476646804422399,2,0.0402047833894999
0.01,0.03,0.3,0.01,0.01,4.225079245030619,0.0001203681877435175,0.03291818841182174,1.8720404357440141,2,0.040466536018979704
0.01,0.03,0.3,0.03,0.01,4.584433946043057,0.0297546559102669,-0.09665498463502767,1.7935374215124256,2,0.040753380731168104
0.01,0.03,0.3,0.1,0.01,4.9250986068388976,0.12229233736713031,0.23028392874710638,1.736559265805602,2,0.040722923495112695
0.01,0.03,0.3,0.3,0.01,5.211561213427924,0.05722487017826199,0.23508414244103676,1.6013297753007256,2,0.0411627606753108
0.01,0.1,0.01,0.01,0.01,7.07704281507754,0.007217553221335995,0.1373366725091748,1.5653032316086506,2,0.027050098202983708
0.01,0.1,0.01,0.03,0.01,8.927203853392337,0.0023145526664079727,0.2657709114380235,1.616379589913204,2,0.020402835382354156
0.01,0.1,0.01,0.1,0.01,10.693930429062164,0.006373816902418191,0.3802793107593625,1.6787910554511147,2,0.016838050831412182
0.01,0.1,0.01,0.3,0.01,12.252949700178911,0.0007061407133065796,0.2841463806621124,1.7975224688641025,2,0.014940463951221089
0.01,0.1,0.03,0.01,0.01,13.983970668222506,0.0039402153774881175,0.28404134028821215,1.7702129893682375,2,0.013421404228749073
0.01,0.1,0.03,0.03,0.01,15.652749254246503,0.008016547666825911,0.21530486005673552,1.7712984710489987,2,0.012467073718227945
0.01,0.1,0.03,0.1,0.01,17.182743560824868,0.006490319534462926,0.26822312733099035,1.2032169092654679,2,0.011762096887502821
0.01,0.1,0.03,0.3,0.01,18.466241672384875,0.11797935125489893,0.4071328775439386,1.1080231205017623,2,0.011277128166494538
0.01,0.1,0.1,0.01,0.01,20.021173328616065,0.06400940342278766,0.45491712093275266,0.8016008345561807,2,0.010523449707147026
0.01,0.1,0.1,0.03,0.01,21.52856747286372,2.737386094811153e-05,0.16612140001735987,0.9784433485045696,2,0.009763047568393413
0.01,0.1,0.1,0.1,0.01,22.992825294295336,0.01874836916673903,0.14727877275682272,1.22971032775525,2,0.009344153698372493
0.01,0.1,0.1,0.3,0.01,24.331218961187997,0.07596925918149558,0.2576957149362665,1.5380968154875545,2,0.009416243467853747
0.01,0.1,0.3,0.01,0.01,26.151683831412896,0.01052203454774022,0.19094987885342649,1.5618838173018534,2,0.00928726524529716
0.01,0.1,0.3,0.03,0.01,27.867621823041176,0.014911397523411704,0.3540050366368739,1.3268817137077327,2,0.00918720211580451
0.01,0.1,0.3,0.1,0.01,29.433886824590953,0.06425652292935488,0.21549544744087734,1.2531962856450511,2,0.00903898505105219
0.01,0.1,0.3,0.3,0.01,30.75766091507828,0.07221796888936964,0.15137171725691498,0.9407787125850774,2,0.008734597817051853
0.01,0.3,0.01,0.01,0.01,36.107674189297015,0.05905583367495849,0.11248239326030389,1.0352863615567074,2,0.006778364197665504
0.01,0.3,0.01,0.03,0.01,41.053634721737936,0.008775644725384155,0.2776089130546938,0.7138872434606732,2,0.0054598083117926854
0.01,0.3,0.01,0.1,0.01,45.84385135698825,0.01920527001423914,0.2988006267041345,0.6101382154257813,2,0.004433188908602087
0.01,0.3,0.01,0.3,0.01,49.804502844330884,0.0044573921858520405,0.2471129908503994,0.37488485331621035,2,0.003749339497782167
