h_values,a_values,c_values,node_eccentricity,community_opinion_eccentricity,community_size
0.1,0.01,0.3,1.496071110056028,0.015588849238643284,166
0.01,0.01,0.1,0.626669258129369,0.021819821463666313,143
0.01,0.3,0.1,2.1003740645053908,0.015588849238643284,166
0.3,0.03,0.01,1.2289045681687563,0.06696783688745635,118
0.01,0.3,0.03,0.3967170998767676,0.06696783688745635,118
0.1,0.1,0.3,0.4859203091990517,0.021819821463666313,143
0.1,0.01,0.03,1.151362742057339,0.021819821463666313,143
0.3,0.3,0.3,0.2995277976480903,0.021819821463666313,143
0.3,0.03,0.03,0.4788238737448667,0.015588849238643284,166
0.3,0.03,0.1,1.4454474252795662,0.021819821463666313,143
0.1,0.3,0.3,1.046915130895633,0.02375152667108947,90
0.3,0.3,0.3,0.5589454238821964,0.021819821463666313,143
0.1,0.1,0.03,0.06576939826967472,0.02375152667108947,90
0.01,0.1,0.3,0.4771275698477153,0.015588849238643284,166
0.1,0.01,0.1,0.3184363159014941,0.023063447996707617,173
0.01,0.01,0.01,0.3704386890721393,0.023063447996707617,173
0.03,0.3,0.03,0.960603907826599,0.023063447996707617,173
0.3,0.3,0.1,0.8915541008743124,0.06677272694610427,202
0.1,0.3,0.01,0.3194921246457275,0.023063447996707617,173
0.1,0.03,0.3,2.307232537412653,0.023063447996707617,173
0.1,0.1,0.3,1.2014852356992836,0.023063447996707617,173
0.03,0.1,0.01,0.11193630986848001,0.021819821463666313,143
0.1,0.01,0.3,0.47877396198098426,0.06677272694610427,202
0.01,0.1,0.1,0.10958832553446946,0.06677272694610427,202
0.03,0.1,0.1,1.473428876724006,0.06696783688745635,118
0.3,0.01,0.01,1.0289955737168937,0.015588849238643284,166
0.3,0.03,0.3,0.9195076067891903,0.023063447996707617,173
0.3,0.1,0.03,0.40151495518540764,0.015588849238643284,166
0.03,0.1,0.03,0.8997646280357682,0.12805530601742082,108
0.01,0.01,0.01,0.5399872504737421,0.06677272694610427,202
0.03,0.3,0.03,1.1107753417492452,0.06677272694610427,202
0.01,0.01,0.1,0.035474329413707345,0.023063447996707617,173
0.03,0.03,0.01,0.8845115645801287,0.06677272694610427,202
0.03,0.3,0.3,0.25742348941889626,0.021819821463666313,143
0.1,0.03,0.3,0.35691786056363345,0.06696783688745635,118
0.3,0.1,0.01,1.125123482979396,0.12805530601742082,108
0.01,0.3,0.1,1.240032808195558,0.12805530601742082,108
0.3,0.1,0.01,0.8193927681904936,0.023063447996707617,173
0.1,0.01,0.1,0.06589032130674302,0.015588849238643284,166
0.01,0.1,0.1,1.9580975646623837,0.015588849238643284,166
0.3,0.1,0.01,1.710499844228889,0.06677272694610427,202
0.01,0.03,0.1,0.5236315602540514,0.06677272694610427,202
0.03,0.1,0.03,0.5440101434512165,0.015588849238643284,166
0.3,0.1,0.03,0.35221906857150304,0.06677272694610427,202
