h_values,n_values,th_values,ta_values,c_values,avg_weight,std_dev,average_os,range_community,n_communities,modularity
0.01,0.01,0.01,0.01,0.01,0.46670589319775213,0.014622788242450025,0.3097555151957085,1.2759894856143228,4,0.041496654695885093
0.01,0.01,0.01,0.03,0.01,0.4308640016895968,0.11557438411874534,1.7644150595900687,2.940782057983581,3,0.08125936774334032
0.01,0.01,0.01,0.1,0.01,0.3868141300241898,0.014149112437480616,0.21092349484444314,1.2423313364060717,2,0.11713749837217352
0.01,0.01,0.01,0.3,0.01,0.3349144739050971,0.009991538509409589,0.05574395766832344,1.1681872413678083,2,0.1415228455911923
0.01,0.01,0.03,0.01,0.01,0.31361736859737366,0.006254382337650035,-0.1399196354196389,1.4448778333202137,2,0.15747929421466675
0.01,0.01,0.03,0.03,0.01,0.29292409090126625,0.9853314877566662,-3.0232050346171286,4.2859390165029625,3,0.18041726049220305
0.01,0.01,0.03,0.1,0.01,0.27237237931856007,0.4218059300131275,-0.5509448349177507,6.972072712785249,3,0.18887959445988672
0.01,0.01,0.03,0.3,0.01,0.24004829067436625,0.6326626817259979,-0.577507464531582,7.827989150089708,3,0.20706536884390936
0.01,0.01,0.1,0.01,0.01,0.23678154679767588,0.0042176224435964554,-0.42103670560081535,1.5935250311631382,2,0.20794391114802255
0.01,0.01,0.1,0.03,0.01,0.2326333378393168,0.002148688267978173,-0.8247487233738924,1.4880511840161437,2,0.20828664078118656
0.01,0.01,0.1,0.1,0.01,0.22497231809126444,0.014135361259408718,-0.6353759695260591,2.4755974389494027,2,0.20333356183459184
0.01,0.01,0.1,0.3,0.01,0.2096794418977181,0.03755189573747026,-1.149303040476249,4.876854842976131,3,0.19426296713202362
0.01,0.01,0.3,0.01,0.01,0.2261263175987888,0.10132221866751703,-0.7269062893354589,7.547850914755979,3,0.17999337400403861
0.01,0.01,0.3,0.03,0.01,0.23706169058488982,0.005451053049908014,-0.5421609765983355,3.1794504263320533,3,0.18048646695898973
0.01,0.01,0.3,0.1,0.01,0.24401137532846248,0.18471272697429209,-0.8721769999178602,6.983481422310797,3,0.1821330598462737
0.01,0.01,0.3,0.3,0.01,0.23650780734005716,0.14285595169590046,-0.8637044517149305,8.690323601227535,3,0.19034563549956668
0.01,0.03,0.01,0.01,0.01,0.6613306138597951,0.43665587276708967,-2.424795254068077,2.9358039898385977,3,0.046543670817393204
0.01,0.03,0.01,0.03,0.01,1.0610833876542545,0.16177615596239645,-0.7342846388849683,7.637854166014179,3,0.03777722269575696
0.01,0.03,0.01,0.1,0.01,1.424025012596456,0.024283717581244178,-0.5551655394321803,2.0641587588066153,2,0.03796848793840657
0.01,0.03,0.01,0.3,0.01,1.7240666622161502,0.01785859590921531,-0.6044432041315011,1.8732223459632367,2,0.04188945093682639
0.01,0.03,0.03,0.01,0.01,2.0926907774224826,0.011256710450798764,-0.8360057695347545,1.6578896127641027,2,0.041053449515682044
0.01,0.03,0.03,0.03,0.01,2.4288936799830663,0.19183730461790735,-0.831747681537164,1.5267992178391183,2,0.04077289861015648
0.01,0.03,0.03,0.1,0.01,2.728715491296759,0.2937910426426209,-0.8792707573303008,1.3170220581814096,2,0.04046345262758455
0.01,0.03,0.03,0.3,0.01,2.9700130540352982,0.1944051084832697,-0.8138353303991005,2.007466072485455,2,0.04047630923754106
0.01,0.03,0.1,0.01,0.01,3.312160336705643,0.208011023325589,-0.5080871425170335,1.8962491006059559,2,0.03842360210358631
0.01,0.03,0.1,0.03,0.01,3.6476516029078865,0.4819550356636701,-0.7461166519551053,1.178057624328794,2,0.037444601071044914
0.01,0.03,0.1,0.1,0.01,3.9625279947811576,0.24065043533014166,-0.5803806999876777,1.8710999781575988,2,0.036263291675369874
0.01,0.03,0.1,0.3,0.01,4.209124736558093,0.6369343495424348,-0.7401143347795818,1.9142452125405882,2,0.03590568843448633
0.01,0.03,0.3,0.01,0.01,4.560783377816461,0.41713891286052246,-0.3445831837580522,1.5912426373869755,2,0.034300588686882655
0.01,0.03,0.3,0.03,0.01,4.922438329961712,0.014328842976320571,0.021800792269172455,1.3296114125712475,2,0.032463600982374635
0.01,0.03,0.3,0.1,0.01,5.294294311034637,0.012712228734673621,0.11868860030501355,1.7180622964060357,2,0.03148657629200469
0.01,0.03,0.3,0.3,0.01,5.600436139450951,0.1637893321786366,0.26391947139720817,1.8927920139583345,2,0.03278307343905007
0.01,0.1,0.01,0.01,0.01,7.489918528184729,0.22397521932991193,0.22839192549431608,1.7316732504835939,2,0.022523702489905706
0.01,0.1,0.01,0.03,0.01,9.289650117394556,0.5694104160746241,-0.014250328798118292,1.3777570445096086,2,0.016899361278430586
0.01,0.1,0.01,0.1,0.01,11.02089398587423,0.10761454151178228,0.4463667673031189,1.2989123538825407,2,0.014393180048013876
0.01,0.1,0.01,0.3,0.01,12.56859581460956,0.28378128263160246,0.5155504061449958,1.8023273389044276,2,0.012862497927473932
0.01,0.1,0.03,0.01,0.01,14.3434204979996,0.49477029596769795,0.506992300836632,1.7598394943387001,2,0.011635210923893968
0.01,0.1,0.03,0.03,0.01,16.076470030200305,0.2806115242107294,1.045267114260115,2.0490460033108624,2,0.011255639003946383
0.01,0.1,0.03,0.1,0.01,17.687719583021348,0.26317923068315424,1.1614756345582757,2.1227650545390455,2,0.010715028732366488
0.01,0.1,0.03,0.3,0.01,19.073429790374902,0.1463187792238162,1.0552892223411006,1.1941477609427735,2,0.010283635264897062
0.01,0.1,0.1,0.01,0.01,20.787473358848136,0.1557747114335866,1.3595334207397,1.2886318322204289,2,0.009388039195022374
0.01,0.1,0.1,0.03,0.01,22.53549774986236,0.11246709221040571,1.7260619403153041,2.334015938308996,2,0.008990209393636206
0.01,0.1,0.1,0.1,0.01,24.23020946819832,0.07287025179481768,2.1859776277717105,2.589010233056699,2,0.008927361223920433
0.01,0.1,0.1,0.3,0.01,25.71737634997088,0.0539553823625314,2.223558725671005,2.708502267290681,2,0.008800534721525366
0.01,0.1,0.3,0.01,0.01,27.55097020451398,0.014362784907338893,2.2202213064433725,2.864289384938364,2,0.008736446491781347
0.01,0.1,0.3,0.03,0.01,29.38028092606063,0.41119672001677177,2.0183766428820644,0.8749117067665879,2,0.00868125182790061
0.01,0.1,0.3,0.1,0.01,31.00649629555967,0.027923543702508092,2.7699435221301245,2.72468429278626,2,0.008437351591605885
0.01,0.1,0.3,0.3,0.01,32.44490945061995,0.027006330980426152,3.3799259458763298,3.0529929934612303,2,0.008160474396880446
0.01,0.3,0.01,0.01,0.01,38.08186314383333,0.04147495365468367,3.343597239469969,2.9504027127893524,2,0.006209435847225747
0.01,0.3,0.01,0.03,0.01,43.467881510507546,0.007123182379182131,3.422744210997907,2.9831775175461828,2,0.004879783162616058
0.01,0.3,0.01,0.1,0.01,48.80127192650977,0.17806471739975455,3.739041210060149,3.0251579625795775,2,0.003940965834919097
0.01,0.3,0.01,0.3,0.01,53.453094079525805,0.09593121069351515,3.805328609269069,3.0122869929828764,2,0.003307967290275826
0.01,0.3,0.03,0.01,0.01,58.88942076320948,0.3308828837474077,3.786920792568735,2.988442000419649,2,0.0027314826143138293
0.01,0.3,0.03,0.03,0.01,64.266641337003,0.1353376243211912,4.077300513563602,3.0963885852602098,2,0.0022397948683891555
0.01,0.3,0.03,0.1,0.01,69.40067850456532,0.08646963697317173,4.12216931706113,3.0131697294200075,2,0.0017929344475068054
0.01,0.3,0.03,0.3,0.01,74.0166078605755,0.30242025483893537,3.547267725032809,0.4960112299758448,2,0.001355695032241283
0.01,0.3,0.1,0.01,0.01,79.50448647452967,0.28912138946896043,3.5238836361802295,0.5593124780083789,2,0.0011410553204795337
0.01,0.3,0.1,0.03,0.01,85.24038103293005,0.013319280710246543,1.9043630648432655,0.0,1,-2.6645352591003757e-15
0.01,0.3,0.1,0.1,0.01,90.9027918378016,0.031478833520259125,1.8109208036994828,0.0,1,-1.6653345369377348e-15
0.01,0.3,0.1,0.3,0.01,95.84760853345217,0.05553626511681655,4.135047974124555,3.2005526076853594,2,0.0005139919636436008
0.01,0.3,0.3,0.01,0.01,101.29053119542034,0.11559187875286554,4.07092681828862,3.1190937224681656,2,0.0003493487780564797
0.01,0.3,0.3,0.03,0.01,106.66173506835229,0.006149328549038374,4.797286425379941,3.926688287671639,2,0.00047735954842295647
0.01,0.3,0.3,0.1,0.01,111.78241583495506,0.0031560842971727616,2.0512505516029567,0.0,1,2.886579864025407e-15
0.01,0.3,0.3,0.3,0.01,116.45977891560948,0.08669463739583176,5.621370105356574,4.272417663489745,2,0.0002715455428932978
0.03,0.01,0.01,0.01,0.01,115.88191526543025,0.009529022998333553,5.419446627118192,4.262605326406339,2,0.0005136487133017842
0.03,0.01,0.01,0.03,0.01,115.30338192924664,0.0023647659906830326,5.302873423172707,4.344780670837165,2,0.000958253808676035
0.03,0.01,0.01,0.1,0.01,114.72575465921793,0.004575791871121798,5.177807564027911,4.270169581892134,2,0.0016855502915923415
0.03,0.01,0.01,0.3,0.01,114.12643453602237,0.017033227683686793,5.7800986719477665,4.6224630144132215,2,0.0024363560538480655
0.03,0.01,0.03,0.01,0.01,113.57306581419907,0.08150224843338452,6.440568843438472,5.068994705779101,2,0.003534896076740318
0.03,0.01,0.03,0.03,0.01,113.00920443252801,0.14948717120739452,6.236589219361383,4.898138750105902,2,0.004475832351399062
0.03,0.01,0.03,0.1,0.01,112.45216928935206,0.224668211891627,4.861388386975887,0.5264244505504587,2,0.00528759152655825
0.03,0.01,0.03,0.3,0.01,111.88967768931218,0.11166524994600044,5.438090906089494,1.0287120362559756,2,0.00592450093868796
0.03,0.01,0.1,0.01,0.01,111.38711478666642,0.030278545830041026,6.643882750069368,4.613873656302058,2,0.00636636463214546
0.03,0.01,0.1,0.03,0.01,110.88185071139479,0.011891663814342195,6.715992287207726,4.631262306890674,2,0.00677155570711474
0.03,0.01,0.1,0.1,0.01,110.38584098722976,0.4715751422143984,6.018634218133127,1.8818270090739713,2,0.007088609453385991
0.03,0.01,0.1,0.3,0.01,109.87579538637287,0.07554688145138744,6.531320608357465,4.048574493017535,2,0.0071225612093798185
0.03,0.01,0.3,0.01,0.01,109.49196506301506,0.022092906656942676,5.72155024006393,3.3195733305526525,2,0.00623756942119133
0.03,0.01,0.3,0.03,0.01,109.08207989583592,0.016394707894110648,6.925458855334137,4.098101681251958,2,0.007698251057455585
0.03,0.01,0.3,0.1,0.01,108.65888781597685,0.0024108575478608936,6.334459321701163,3.73027586524138,2,0.0077943575778619545
0.03,0.01,0.3,0.3,0.01,108.22303992944528,0.6427645677971174,6.46575865981332,2.531956716164212,2,0.007960282099161192
0.03,0.03,0.01,0.01,0.01,108.03128064029391,0.06765426824996784,6.9283349043766815,4.1700353134853785,2,0.008094529067343648
0.03,0.03,0.01,0.03,0.01,107.8415238018136,0.0037958575285727187,5.911954753368495,3.1161975181678043,2,0.007809776166095211
0.03,0.03,0.01,0.1,0.01,107.62926099590545,0.004116212268236845,6.854945300629338,3.808261030036946,2,0.008195221501937744
0.03,0.03,0.01,0.3,0.01,107.34626300934444,0.003991487775084991,7.030451092852407,3.99339532887838,2,0.008249814207198836
0.03,0.03,0.03,0.01,0.01,107.1599518628507,0.4344177537854788,7.800486941392899,4.0257344193368,2,0.007435645578527633
0.03,0.03,0.03,0.03,0.01,106.9623042073869,0.15044642231417,7.055961554068298,3.0087306694079734,2,0.008270501920849938
0.03,0.03,0.03,0.1,0.01,106.72287890677725,0.0338490015787738,7.533924185294897,4.529423431434809,2,0.008263109246004569
0.03,0.03,0.03,0.3,0.01,106.44029029906048,0.32524368475833837,8.144241097557128,4.8977226395511,2,0.008521204862790704
